MF_GO_IDs,MF_GO_Names
GO:0002151,G-quadruplex RNA binding
GO:0002151,G-quadruplex RNA binding
GO:0002161,aminoacyl-tRNA editing activity
GO:0002161,aminoacyl-tRNA editing activity
GO:0002161,aminoacyl-tRNA editing activity
GO:0002161,aminoacyl-tRNA editing activity
GO:0002161,aminoacyl-tRNA editing activity
GO:0002953,5'-deoxynucleotidase activity
GO:0002953,5'-deoxynucleotidase activity
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
GO:0003676,nucleic acid binding
